날짜-시간,이벤트유형,장비/상세,원본메시지
2025-01-04-22-36,ERROR,4ABLD112 -> OPEN,"4ABLD112호기 Error조치 완료되어 4F, 7F AI Open했습니다"
2025-01-05-03-10,ERROR,4ABLD112 -> CLOSE,"4ABLD112 호기 ERROR 발생하여 4F,7F AI CLOSE 하겠습니다."
2025-01-05-03-51,ERROR,4ABLD112 -> OPEN,"4ABLD112 호기 ERROR 조치 완료되어 4F,7F AI OPEN 하겠습니다."
2025-01-05-07-08,ERROR,4ABLD112 Error 발생하여 -> CLOSE,4ABLD112 호기 Error 발생하여 AI Close 하겠습니다.
2025-01-05-07-33,OPEN,4ABLD112,4ABLD112 호기 조치 완료되어 AI Open 하겠습니다.
2025-01-05-16-25,CLOSE,4AFC3201,"4AFC3201 반송량이 밀려서 A_in80 ,81 CLOSE 실시 했습니다"
2025-01-05-16-41,OPEN,4AFC3201,"4AFC3201 정체 해소되어  A_in80 ,81 OPEN 실시 했습니다"
2025-01-05-22-05,ERROR,,안녕하세요 ~ Bridge Error 있나요 ?
2025-01-06-00-02,CLOSE,4AFC3201,"4AFC3201 M16 -> M14 Foup 정체 심하여 A_in80 ,81 CLOSE 실시 했습니다"
2025-01-06-00-22,OPEN,4AFC3201,"4AFC3201 정체 해소되어  A_in80 ,81 OPEN 실시 했습니다"
2025-01-06-08-59,ERROR,4ABLD111 Error 발생하여 -> CLOSE,4ABLD111 Error 발생하여 AI Close 하겠습니다.
2025-01-06-09-54,ERROR,4ABLD111 -> OPEN,4ABLD111 Error 조치 후 AI Open 하였습니다 4ABLD122 감속기 교체 작업 관련 잔여 반송 후 장비 Down 진행하겠습니다
2025-01-06-14-29,ERROR,4ABLD131 Error 발생하여 -> CLOSE,"4ABLD131 Error 발생하여 4F,7F AI Close 하겠습니다."
2025-01-06-14-40,ERROR,4ABLD131 -> OPEN,4ABLD131 Error 조치 후 AI OPEN하였습니다.
2025-01-06-17-25,ERROR,4ALBD121 Error 발생으로 -> CLOSE,"4ALBD121호기 Error 발생으로 인하여 4F, 7F AI Close 하였습니다"
2025-01-06-17-45,ERROR,4ABLD121 -> OPEN,"4ABLD121호기 Error 조치되어 4F, 7F Open 하였습니다."
2025-01-07-06-24,ERROR,4ABLD131 -> CLOSE,"4ABLD131 ERROR 발생하여 4F,7F AI CLOSE 하겠습니다."
2025-01-07-06-34,ERROR,4ABLD131 -> OPEN,"4ABLD131 ERROR 조치 완료되어 4F,7F AI OPEN 하겠습니다."
2025-01-07-10-02,ERROR,4AFC3301,"4AFC3301(북측 Conveyor) M14->M16 방향 Error 다발로 긴급 점검 진행하겠습니다. 소요 시간은 약 40분 이며, M16->M14 방향은 그대로 반송 됩니다."
2025-01-07-10-20,CLOSE,4ABLD132,4ABLD132호기 4F Conv Full되어 임시로 4F AI Close하겠습니다.
2025-01-07-10-22,OPEN,,132호기 4F AI Open 112호기 4F AI Close 하겠습니다.
2025-01-07-10-24,OPEN,,112호기 4F AI Open 111호기 4F AI Close 하겠습니다.
2025-01-07-10-28,OPEN,,111호기 4F AI Open 하겠습니다. 4F Conv Full 예상 될 경우 다시 대응하겠습니다.
2025-01-07-10-28,OPEN,4AFC3301,4AFC3301(북측 Conveyor) M14->M16 완료하여 OPEN 했습니다
2025-01-07-11-13,CLOSE,4ABLD111,4ABLD111호기 4F Conv Full되어 임시로 4F AI Close하겠습니다.
2025-01-07-11-23,OPEN,,111호기 4F AI Open 하겠습니다.
2025-01-07-11-45,CLOSE,4ABLD111,4ABLD111호기 4F AI Close하겠습니다.
2025-01-07-11-57,OPEN,,111호기 4F AI Open 하였습니다.
2025-01-07-13-04,CLOSE,4ABLD111,4ABLD111호기 4F AI Close하겠습니다.
2025-01-07-13-13,OPEN,,111호기 4F AI Open 하였습니다.
2025-01-07-13-52,ERROR,4AFC3301,"4AFC3301(북측 Conveyor) M16→M14A 방향 A_IN 85~89 Port  MAX CAPA  6->8 로 증가 및 Monitoring 하겠습니다 (13:30 변경, Total Max capa 10증가) 변경 근거로는 아래와 같으며 M16→M14A 방향 이동중 ZT 內 Looping 현상을 최소화 하고자 합니다. 근거 1 : Conveyor PIO Error 건수 7일간 0건 근거 2 : Conveyor 를 목적지이며 M16 ZT 재입고 및 출고 현상 발생 Daily 약 400건"
2025-01-07-14-01,OPEN,4ABLD111,"4ABLD111, 4ABLD132 호기 4F AI 포트 open/close 한 것은 port가 꽉차면 OHT가 내려놓지 못하고 밀리니까 Full 인거 해소하려고 한것입니다"
2025-01-07-14-13,CLOSE,4ABLD111,4ABLD111호기 4F Conv Full되어 임시로 4F AI Close하겠습니다.
2025-01-07-14-22,OPEN,4ABLD111,4ABLD111호기 정체 해소되어 4F AI Open 했습니다.
2025-01-07-19-36,ERROR,4ABLD111,4ABLD111 PIO Error 다발로 M16A->M14B 4ABLD111_AI47 Max CAPA = 6 에서 4로 줄였습니다 (M16 MCS메뉴)
2025-01-07-22-06,CLOSE,4ABLD111,"{{@김지훈::10103}} M14B 리프트 특이사항 없습니다.(기존 4ABLD111, 4ABLD122 AI Close된 상태)"
2025-01-07-22-08,CLOSE,4ABLD111,"{{@김지훈::10103}} M14B 리프트 특이사항 없습니다.(기존 4ABLD111, 4ABLD122 AI Close된 상태) (육양주,이천AMHS운영/TL,2025-01-07 22:06:53) ┖ 네 알겟습니다."
2025-01-07-22-13,CLOSE,4ABLD111,4ABLD111호기 4F Auto Input으로 Que 몰려 All Close해서 타 호기로 Que받도록 AI Port Close 했습니다.
2025-01-07-22-18,OPEN,4ABLD111,{{@김지훈::10103}} 4ABLD111호기 Open은 상황보면서 Open하도록 하겠습니다. 감사합니다.
2025-01-07-22-23,OPEN,4ABLD111,"4ABLD111호기 AI47, AI77 Open 하였습니다."
2025-01-07-23-05,OPEN,4ABLD111,"안녕하세요. 4ABLD111호기 AI47 Que 몰림 관련 Close 하겠습니다. 특이사항 발생 시, Inform 부탁 드리겠습니다. Que 해소되면 Open 후 Inform 드리겠습니다."
2025-01-07-23-14,OPEN,4ABLD111,4ABLD111호기 AI47 Que 해소 되어 Port Open 하였습니다.
2025-01-07-23-20,ERROR,,현재 M16 Brdige에서 OHT에러 발생하여 Delay중입니다.
2025-01-07-23-26,CLOSE,4ABLD132,4ABLD132호기 7층 AI Close하겠습니다
2025-01-07-23-27,ERROR,,OHT Error Clear되었으며 정체 해소중입니다.
2025-01-07-23-29,OPEN,4ABLD132,4ABLD132호기 7층 AI OPEN 하겠습니다
2025-01-07-23-38,ERROR,,안녕하세요 HUB 반송TIME 튀는데요 ERROR 있나요 ?
2025-01-08-01-05,CLOSE,4ABLD111,4ABLD111호기 AI47 Que 몰림 관련 Port Close 하겠습니다.
2025-01-08-01-12,OPEN,4ABLD111,4ABLD111호기 AI47 Que 해소 되어 Port Open 하였습니다.
2025-01-08-04-33,ERROR,4AFC3301 -> CLOSE,4AFC3301 error로  M16->M14   A_in80~86 CLOSE 실시 했습니다
2025-01-08-04-39,ERROR,4AFC3301 -> OPEN,4AFC3301 Error Clear 되었습니다. 현재 Conveyor 내부 정체가 심해 순차적으로 M16->M14 방향 Port Open 예정입니다.
2025-01-08-04-47,ERROR,4ABLD131 Error 발생으로 -> CLOSE,4ABLD131호기 Error 발생으로 4F/7F AI Port Close 하겠습니다.
2025-01-08-05-01,OPEN,4AFC3301,4AFC3301정체 해소되어 순차적으로  A_in84~86 OPEN 실시 했습니다
2025-01-08-05-01,ERROR,4ABLD131 -> OPEN,4ABLD131호기 Error 조치 완료되어 AI Port Open 하였습니다.
2025-01-08-05-06,OPEN,4AFC3301,4AFC3301   A_in80~83  OPEN 실시 했습니다
2025-01-08-09-07,ERROR,4ABLD121 -> CLOSE,4ABLD121호기 ERROR 발생으로 AI PORT CLOSE 했습니다.
2025-01-08-09-10,ERROR,4ABLD121 -> OPEN,4ABLD121호기 ERROR 처리완료되어 AI PORT OPEN 했습니다.
2025-01-08-09-40,ERROR,4AFC3301,9:40~10:40 4AFC3301(북측 Conveyor) M14->M16 Conveyor Lift 1호기 Belt 점검(ERROR 발생)으로 A_OU80~84 출고량이 줄어듭니다.
2025-01-08-11-00,ERROR,,10:45경 완료 되었으나 ERROR 발생으로 점검 중입니다.
2025-01-08-11-20,ERROR,,"10:45경 완료 되었으나 ERROR 발생으로 점검 중입니다. (윤영찬,이천AMHS운영/TL,2025-01-08 11:00:52) ┖ CLEAR 및 AUTO UP 하였습니다"
2025-01-08-12-24,ERROR,4ABLD131 Error 발생으로 -> CLOSE,안녕하세요 4ABLD131호기 Error 발생으로 4F/7F AI Port Close 하겠습니다.
2025-01-08-12-47,ERROR,4ABLD131 -> OPEN,4ABLD131호기 Error 조치 완료되어 AI Port Open 하였습니다.
2025-01-08-17-52,ERROR,4ABLD131 Error 발생으로 -> CLOSE,4ABLD131호기 Error 발생으로 4F/7F AI Port Close 하겠습니다.
2025-01-08-18-07,ERROR,4ABLD131 -> OPEN,4ABLD131호기 Error 조치 완료되어 AI Port Open 하였습니다.
2025-01-08-18-09,ERROR,4ABLD132 Error 발생으로 -> CLOSE,4ABLD132호기 Error 발생으로 4F/7F AI Port Close 하겠습니다.
2025-01-08-18-17,ERROR,4ABLD132 Error 발생으로 -> CLOSE,"4ABLD132호기 Error 발생으로 4F/7F AI Port Close 하겠습니다. (표세환,이천AMHS운영/TL,2025-01-08 18:09:00) ┖ 조치 완료되어 AI Open 했습니다."
2025-01-08-18-43,ERROR,4ABLD131 Error 발생으로 -> CLOSE,4ABLD131호기 Error 발생으로 4F/7F AI Port Close 하겠습니다.
2025-01-08-19-00,ERROR,4ABLD131 Error 발생으로 -> CLOSE,"4ABLD131호기 Error 발생으로 4F/7F AI Port Close 하겠습니다. (이영재,이천AMHS운영/TL,2025-01-08 18:43:02) ┖ 조치 완료되어 AI Open 했습니다."
2025-01-08-22-13,ERROR,4ABLD131 Error 발생으로 -> CLOSE,4ABLD131호기 Error 발생으로 4F/7F AI Port Close 하겠습니다.
2025-01-08-23-02,ERROR,4ABLD131 -> OPEN,안녕하세요. 4ABLD131호기 Error 조치 완료되어 AI Port Open 하였습니다.
2025-01-08-23-09,ERROR,4ABLD131 Error 발생으로 -> CLOSE,4ABLD131호기 Error 발생으로 4F/7F AI Port Close 하겠습니다.
2025-01-08-23-50,OPEN,4ABLD131,"4ABLD131호기 AI43, AI75 Port Open 하였습니다."
2025-01-09-08-10,ERROR,4ABLD121 -> CLOSE,"4ABLD121호기 ERROR 발생하여 4F,7F AI CLOSE 하겠습니다."
2025-01-09-08-46,ERROR,4ABLD121 -> OPEN,"4ABLD121호기 ERROR 조치 완료되어 4F,7F AI OPEN 하겠습니다."
2025-01-09-15-36,ERROR,4ABLD131 Error 발생하여 -> CLOSE,4ABLD131호기 Error 발생하여 AI Close 하겠습니다.
2025-01-09-15-40,OPEN,4ABLD122,"4ABLD122호기 작업 완료 되어 4F,7F AI Open 하였습니다."
2025-01-09-15-43,ERROR,4ABLD131 Error 발생하여 -> CLOSE,"4ABLD131호기 Error 발생하여 AI Close 하겠습니다. (이영재,이천AMHS운영/TL,2025-01-09 15:36:22) ┖ 조치 완료되어 AI Open 했습니다."
2025-01-09-15-59,ERROR,4ABLD131 Error 발생하여 -> CLOSE,4ABLD131호기 Error 발생하여 AI Close 하겠습니다.
2025-01-09-16-49,OPEN,4ABLD131,"4ABLD131호기 4,7F 상단 AI Open 하였습니다"
2025-01-09-17-34,OPEN,4ABLD111,"4ABLD111호기 AI47, AI77 Open 했습니다"
2025-01-09-18-18,OPEN,4ABLD111,"4ABLD111호기 AI47, AI77 Open 했습니다"
2025-01-09-19-03,OPEN,4ABLD111,"4ABLD111호기 AI47, AI77 Open 했습니다"
2025-01-10-15-40,ERROR,4ABLD131 Error 발생으로 -> CLOSE,"안녕하세요 4ABLD131 Error 발생으로 4F,7F AI Close하겠습니다."
2025-01-10-15-56,ERROR,4ABLD131 -> OPEN,"4ABLD131 Error 조치 후 4F,7F AI Open하였습니다 ."
2025-01-10-16-15,CLOSE,4ABLD131,"4ABLD131 점검으로 4F,7F AI Close 하겠습니다 ."
2025-01-10-19-32,OPEN,4ABLD131,"4ABLD131 점검 완료 후 4F,7F AI Open 하였습니다."
2025-01-10-19-56,ERROR,4ABLD131 -> CLOSE,"4ABLD131 호기 ERROR 발생으로 4F, 7F AI CLOSE 했습니다."
2025-01-10-21-10,ERROR,4ABLD131 -> OPEN,"4ABLD131 ERROR 조치 후 4F,7F AI Open 하였습니다"
2025-01-11-15-00,CLOSE,4ABLD111,4ABLD111호기 점검으로 AI Close 하였습니다.
2025-01-11-16-32,OPEN,4ABLD111,4ABLD111호기 점검 완료되어 AI Open 하였습니다.
2025-01-12-05-04,CLOSE,4ABLD122,4ABLD122호기 Errro 발생으로 AI Close 했습니다.
2025-01-12-05-09,OPEN,4ABLD122,"4ABLD122호기 Errro 발생으로 AI Close 했습니다. (이영재,이천AMHS운영/TL,2025-01-12 05:04:13) ┖ 조치완료되어 AI Open 했습니다."
2025-01-13-04-47,ERROR,4ABLD121 Error 발생으로 -> CLOSE,"4ABLD121호기 Error 발생으로 인하여 4F, 7F AI Close 하였습니다."
2025-01-13-05-02,OPEN,,"조치되어 4F, 7F Open 하였습니다"
2025-01-13-06-43,ERROR,4ABLD131 Error 발생으로 -> CLOSE,4ABLD131 Error 발생으로 AI Close 하겠습니다.
2025-01-13-06-51,ERROR,4ABLD131 -> OPEN,안녕하세요. 4ABLD131 Error 조치 완료되어 AI Port Open 하였습니다.
2025-01-13-08-40,ERROR,4ABLD122 Error 발생으로 -> CLOSE,4ABLD122호기 AI47 Error 발생으로 Close 하겠습니다. -. 다른 Port 정상 가동 중입니다.
2025-01-13-08-45,ERROR,4ABLD122 -> OPEN,4ABLD122호기 Error 조치 완료되어 AI47 Open 하였습니다.
2025-01-13-11-28,ERROR,4ABLD131 Error 발생으로 -> CLOSE,4ABLD131호기 Error 발생으로 4F/7F AI Port Close 하겠습니다.
2025-01-13-11-48,ERROR,4ABLD131 -> OPEN,4ABLD131호기 Error 조치 완료되어 AF/7F AI Port 전체 Open 하였습니다.
2025-01-13-13-25,ERROR,6ABL0112 Error 발생으로,6ABL0112호기 Error 발생으로 해당호기 반송 지연되고 있습니다. 업무에 참고부탁드립니다.
2025-01-13-13-27,CLOSE,6ABL0112,6ABL0112호기 INPUT Close 하였습니다.
2025-01-13-13-46,ERROR,6ABL0112 -> OPEN,6ABL0112호기 Error 조치되어 AI Port Open하였습니다.
2025-01-14-02-26,ERROR,4ABLD112 Error 발생으로 -> CLOSE,"4ABLD112호기 Error 발생으로 4F, 7F AI Close 하겠습니다."
2025-01-14-02-39,ERROR,4ABLD112 -> OPEN,"4ABLD112호기 Error 조치되어 4F, 7F AI Open 하였습니다."
2025-01-14-04-48,ERROR,4ABLD111 Error 발생으로 -> CLOSE,"4ABLD111호기 Error 발생으로 4F, 7F AI Close 하겠습니다."
2025-01-14-04-52,ERROR,4ABLD111 -> OPEN,"4ABLD111호기 Error 조치되어 4F, 7F AI Open 하였습니다."
2025-01-15-17-03,ERROR,4ABLD111 Error 발생으로 -> CLOSE,"4ABLD111 호기 Error 발생으로 4F, 7F AI Close 하겠습니다."
2025-01-15-17-09,ERROR,4ABLD111 -> OPEN,"4ABLD111 호기 ERROR 조치 완료되어 4F,7F AI OPEN 하겠습니다."
2025-01-16-02-43,ERROR,4ABLD112 Error 발생으로 -> CLOSE,"안녕하세요 4ABLD112 Error 발생으로 4F,7F AI Close 하겠습니다."
2025-01-16-03-20,ERROR,4ABLD112 -> OPEN,"4ABLD112 Error 조치 후 4F,7F AI Open 하였습니다."
2025-01-17-00-12,ERROR,4ABLD121 Error 발생으로 -> CLOSE,"4ABLD121 호기 Error 발생으로 4F, 7F AI Close 하겠습니다."
2025-01-17-03-12,ERROR,4ABLD121 -> OPEN,"4ABLD121호기 Error 조치 후 4F,7F AI Open 하였습니다."
2025-01-17-09-04,ERROR,4ABLD111 Error 발생하여 -> CLOSE,안녕하세요 4ABLD111호기 Error 발생하여 AI Close 하겠습니다.
2025-01-17-09-41,ERROR,4ABLD111 Error 발생하여 -> CLOSE,"안녕하세요 4ABLD111호기 Error 발생하여 AI Close 하겠습니다. (이영재,이천AMHS운영/TL,2025-01-17 09:04:01) ┖ Error 조치 완료되어 AI Open 하겠습니다."
2025-01-17-15-26,ERROR,4ABLD131 -> CLOSE,"안녕하세요 4ABLD131 ERROR 발생하여 4F,7F AI CLOSE 하겠습니다."
2025-01-17-16-19,ERROR,4ABLD131 -> OPEN,"4ABLD131 ERROR 조치 완료되어 4F, 7F AI OPEN 했습니다."
2025-01-17-22-21,ERROR,4ABLD122 -> CLOSE,"4ABLD122 ERROR 발생하여 4F,7F AI CLOSE 하겠습니다."
2025-01-17-22-33,ERROR,4ABLD122 -> OPEN,"4ABLD122 ERROR 조치 완료되어 4F,7F AI OPEN 하겠습니다"
2025-01-18-02-20,ERROR,4ABLD112 -> CLOSE,"4ABLD112 ERROR 발생하여 4F,7F AI CLOSE 하겠습니다."
2025-01-18-02-33,ERROR,4ABLD112 -> OPEN,"4ABLD112 ERROR 조치 완료되어 4F,7F AI OPEN 하겠습니다"
2025-01-18-13-39,ERROR,4ABLD131 Error 발생하여 -> CLOSE,4ABLD131 Error 발생하여 AI Close 하겠습니다.
2025-01-18-13-54,ERROR,4ABLD131 Error 발생하여 -> CLOSE,"4ABLD131 Error 발생하여 AI Close 하겠습니다. (이영재,이천AMHS운영/TL,2025-01-18 13:39:44) ┖ 조치 완료되어 AI Open 하겠습니다"
2025-01-19-10-15,CLOSE,,INPUT PORT 12개 중.. 6개가 CLOSE 상태 인건가요?
2025-01-19-10-31,CLOSE,4ABLD112,"4ABLD112호기 제외 (4ABLD111, 121, 122, 131, 132) 7F AI Close 하였습니다."
2025-01-19-10-31,OPEN,,4F AO 물량 해소되면 다시 오픈하도록 하겠습니다.
2025-01-19-10-35,OPEN,4ABLD122,4ABLD122호기 7F AI Open 하였습니다.
2025-01-19-10-40,OPEN,4ABLD121,4ABLD121호기 7F AI Open 하였습니다.
2025-01-19-10-41,OPEN,4ABLD111,4ABLD111호기 7F AI Open 하였습니다.
2025-01-19-10-43,OPEN,4ABLD131,"4ABLD131, 132 7F AI Open 하였습니다. 4ABLD112 7F AI Close 하였습니다."
2025-01-19-10-53,OPEN,4ABLD112,4ABLD112호기 7F AI Open 하였습니다.
2025-01-19-10-57,CLOSE,4ABLD111,"4ABLD111, 131호기 7F AI Close 하였습니다."
2025-01-19-11-03,CLOSE,4ABLD121,"4ABLD121, 122호기 7F AI Close 하였습니다."
2025-01-19-11-06,CLOSE,4ABLD132,4ABLD132호기 7F AI Close 하였습니다.
2025-01-19-11-10,OPEN,4ABLD111,"4ABLD111, 131 7F AI Open 하였습니다."
2025-01-19-11-12,CLOSE,4ABLD112,4ABLD112호기 7F AI Close 하였습니다.
2025-01-19-11-14,OPEN,4AFC3201,LD교체중 나사 2개가 마모되어 제거하는데 시간이 지체되었습니다. 작업 완료되어 4AFC3201 Input Port 전체 오픈  했습니다.
2025-01-19-11-15,OPEN,,"121호기, 122호기, 132호기 7F AI Open 했습니다."
2025-01-19-20-34,ERROR,4AFC3301,4AFC3301 작업구간 확인시 양방향 전체 Down으로 Line내 영향이 클 것으로 예상됩니다. Error가 당장 발생하는 상황은 아니라서 주간에 협의 후 진행예정입니다.
2025-01-19-20-35,ERROR,Error 발생을,혹시 모를 Error 발생을 위해 작업준비 및 Monitoring 지속적으로 하겠습니다. 특이사항 발생시 공유드리겠습니다.
2025-01-20-15-35,ERROR,4AFC3301,4AFC3301(북측 Conveyor) M16->M14 LD Motor 소음 발생 및 Error 로 긴급 교체 작업 진행 하겠습니다.
2025-01-20-15-50,ERROR,4AFC3301,"4AFC3301(북측 Conveyor) M16->M14 LD Motor 소음 발생 및 Error 로 긴급 교체 작업 진행 하겠습니다. (윤영찬,이천AMHS운영/TL,2025-01-20 15:35:25) ┖ 긴급 작업 완료 하여 CAPA 원복하겠습니다."
2025-01-20-17-31,ERROR,4ABLD111,1/21 (화) 09시~12시 M14B Lifter 4ABLD111호기 풉 위치 제어 Error 다발로 PC 긴급 교체 필요하여 작업 예정입니다 Lifter 6대 중 1대 Down 입니다. M14B-M16 물류량 30K미만시 1대 down 특이사항 없습니다. BM : 1/6 4ABLD122 감속기 교체로 DOWN 작업시 특이사항 없었습니다
2025-01-20-22-09,ERROR,6ABL6032 Error 발생으로 -> CLOSE,ZT3-2호기 6ABL6032 Error 발생으로 INPUT Close 하였습니다.
2025-01-21-02-25,ERROR,6ABL6032,zt 3-2호기 6ABL6032 ERROR 발생 이후 장비 AUTO-UP 불가 하여 DOWN 진행 하였습니다.
2025-01-21-09-03,ERROR,4ABLD131 Error 발생으로 -> CLOSE,안녕하세요 4ABLD131호기 Error 발생으로 7F 4F AI Close 하겠습니다.
2025-01-21-09-25,ERROR,4ABLD131 -> OPEN,4ABLD131호기 Error 조치 완료되어 4F 7F AI Open 하겠습니다.
2025-01-21-11-12,ERROR,4ABLD121 Error 발생하여 -> CLOSE,4ABLD121호기 Error 발생하여 AI Close하겠습니다.
2025-01-21-11-34,ERROR,4ABLD121 -> OPEN,4ABLD121호기 Error 조치 완료되어 AI Open 하겠습니다.
2025-01-21-12-57,ERROR,4ABLD131 Error 발생으로 -> CLOSE,4ABLD131호기 Error 발생으로 7F 4F AI Close 하겠습니다.
2025-01-21-13-07,ERROR,4ABLD131 -> OPEN,4ABLD131호기 Error 조치 완료되어 4F 7F AI Open 하겠습니다.
2025-01-21-13-22,ERROR,4ABLD131 Error 발생으로 -> CLOSE,4ABLD131호기 Error 발생으로 7F 4F AI Close 하겠습니다.
2025-01-21-13-38,ERROR,4ABLD131 -> OPEN,"4ABLD131 Error 조치 후 4F,7F AI Open 하였습니다"
2025-01-21-16-04,ERROR,4ABLD122 Error 발생으로 -> CLOSE,안녕하세요. 4ABLD122호기 Error 발생으로 AI Port Close 하겠습니다.
2025-01-21-15-36,ERROR,4ABLD122 -> OPEN,4ABLD122호기 Error 조치 완료되어 AI Open 하겠습니다.
2025-01-21-16-04,ERROR,4ABLD112 Error 발생으로 -> CLOSE,4ABLD112호기 Error 발생으로 AI Port Close 하겠습니다.
2025-01-21-16-11,ERROR,4ABLD112 -> OPEN,4ABLD112호기 Error 조치 완료되어 AI Open 하겠습니다.
2025-01-21-16-16,ERROR,4ABLD112 Error 발생으로 -> CLOSE,4ABLD112호기 Error 발생으로 AI Port Close 하겠습니다.
2025-01-21-16-34,ERROR,4ABLD112 -> OPEN,4ABLD112호기 Error 조치 완료되어 AI Open 하겠습니다. 수고하세요
2025-01-21-17-35,OPEN,6ABL6032,6ABL6032(3-2호기) Err 조치되어 17시 30분경 Auto 전환 및 All Port Open 하였습니다.
2025-01-21-19-29,ERROR,4ABLD131 Error 발생으로 -> CLOSE,4ABLD131_AO45 Error 발생으로 AI77 Port 만 Close 하도록 하겠습니다.
